id,source,title,language,date,audio_duration,video_duration,speaker,series_name,series_part,series_order,scripture_osis,scripture_book,kind,is_conference,soundcloud_id,youtube_id,topics
sc-2082409164,soundcloud,Le fondement ultime de notre espérance,fr,2025-04-21,4122,,David Pelosi,Épître aux Hébreux,,25,Heb.6.20,Heb,sermon,False,2082409164,9ViOL-rIG1c,
sc-2077749968,soundcloud,La Joie de l'Esprit,fr,2025-04-13,3737,,David Pelosi,Épître aux Galates,,59,Gal.5.22,Gal,sermon,False,2077749968,,
sc-2077120036,soundcloud,Confession de foi,fr,2025-04-12,2908,,David Pelosi,Épître aux Colossiens,9,1,Col.1.9-Col.1.20,Col,sermon,False,2077120036,,
sc-2072182164,soundcloud,La Joie de l'Esprit : une vertu distinctive du croyant,fr,2025-04-06,3471,,David Pelosi,Épître aux Galates,,58,Gal.5.22,Gal,sermon,False,2072182164,,
sc-2067280192,soundcloud,Enracinés dans l'amour de Christ et fructifier l'amour de Christ,fr,2025-03-31,4387,,David Pelosi,Épître aux Galates,,57,Gal.5.22,Gal,sermon,False,2067280192,,
sc-2061671560,soundcloud,"L'Amour, la vertu capitale du fruit de l'Esprit",fr,2025-03-24,3891,,David Pelosi,Épître aux Galates,,56,Gal.5.22,Gal,sermon,False,2061671560,,
sc-2060412908,soundcloud,Les quatre états de l'image de Dieu chez l'homme,fr,2025-03-22,3711,,David Pelosi,Épître aux Colossiens,,5,Col.3.1-Col.3.11,Col,sermon,False,2060412908,,
sc-2060162440,soundcloud,"Le fruit de l'Esprit cultivé sous l'épreuve : la discipline, la tribulation et le témoignage",fr,2025-03-21,4168,,David Pelosi,Épître aux Galates,,55,Gal.5.22-Gal.5.26,Gal,sermon,False,2060162440,,
sc-2054926060,soundcloud,Image de Dieu : être et fonction,fr,2025-03-15,3550,,David Pelosi,Étude — Genèse,,5,Gen.1.26-Gen.2.3,Gen,sermon,False,2054926060,,
sc-2053267620,soundcloud,Le fruit de l'Esprit et les moyens de Grâce,fr,2025-03-13,3569,,David Pelosi,Épître aux Galates,,54,Gal.5.22-Gal.5.26,Gal,sermon,False,2053267620,dU-aDP5rMBc,
sc-2053265520,soundcloud,Le caractère cultivable du fruit,fr,2025-03-13,3832,,David Pelosi,Épître aux Galates,,42,Gal.5.16-Gal.5.26,Gal,sermon,False,2053265520,k2Ni-szTzyk,
sc-2053260992,soundcloud,L'image de Dieu au coeur de l'anthropologie,fr,2025-03-13,3421,,David Pelosi,Étude — Genèse,6,4,Gen.1.26-Gen.1.31,Gen,sermon,False,2053260992,,
sc-2043159028,soundcloud,,fr,2025-02-27,3369,,David Pelosi,Étude — Ézéchiel,,3,Ezek.5.5,Ezek,sermon,False,2043159028,,
sc-2039466084,soundcloud,Assurance perpétuelle : L'Esprit de Dieu chez le croyant,fr,2025-02-21,3620,,David Pelosi,Épître aux Galates,,41,Gal.5.16-Gal.5.26,Gal,sermon,False,2039466084,QhdOXa4UQ5s,
sc-2039462392,soundcloud,L'image de Dieu au coeur de l'anthropologie,fr,2025-02-21,3180,,David Pelosi,Étude — Genèse,5,3,Gen.1.26-Gen.1.31,Gen,sermon,False,2039462392,,
sc-2039458940,soundcloud,Les caractéristiques des fruits de l'Esprit,fr,2025-02-21,3984,,David Pelosi,Épître aux Galates,,40,Gal.5.16-Gal.5.26,Gal,sermon,False,2039458940,,
sc-2039455192,soundcloud,La création de l'homme,fr,2025-02-21,3767,,David Pelosi,Étude — Genèse,4,2,Gen.1.26-Gen.1.31,Gen,sermon,False,2039455192,,
sc-2024353268,soundcloud,Introduction au fruit de l'Esprit,fr,2025-02-02,3273,,David Pelosi,Épître aux Galates,,38,Gal.5.13-Gal.5.26,Gal,sermon,False,2024353268,,
sc-2020464289,soundcloud,Noël le plus glorieux des mystères : Dieu en chair élevé dans la gloire,fr,2025-01-28,4217,,David Pelosi,Noël le plus glorieux des mystères,,4,1Tim.3.14-1Tim.3.16,1Tim,sermon,False,2020464289,,
sc-2018139389,soundcloud,Confession de foi | Genèse 1 : 1 - 5,fr,2025-01-25,3446,,David Pelosi,Confession de foi | Genèse 1,3,3,Gen.1.1-Gen.1.5,Gen,sermon,False,2018139389,,
sc-2012677347,soundcloud,Noël le plus glorieux des mystères : Dieu en chair cru dans le monde,fr,2025-01-19,3752,,David Pelosi,Noël le plus glorieux des mystères,,3,1Tim.3.14-1Tim.3.16,1Tim,sermon,False,2012677347,,
sc-2011866255,soundcloud,Confession de foi | Genèse 1 : 1 - 5,fr,2025-01-18,4187,,David Pelosi,Confession de foi | Genèse 1,2,2,Gen.1.1-Gen.1.5,Gen,sermon,False,2011866255,,
sc-2007594779,soundcloud,Noël le plus glorieux des mystères : Dieu en chair proclamé aux païens,fr,2025-01-12,3615,,David Pelosi,Noël le plus glorieux des mystères,,2,1Tim.3.14-1Tim.3.16,1Tim,sermon,False,2007594779,,Incarnation; Mystère de la piété; Mission et évangélisation; Proclamation de l'Évangile; Identité et mission de l'Église; Résolutions chrétiennes / Nouvel An; Témoignage et martyrs
sc-2006543831,soundcloud,Confession de foi | Genèse 1 : 1 - 5,fr,2025-01-11,3434,,David Pelosi,Confession de foi | Genèse 1,,1,Gen.1.1-Gen.1.5,Gen,sermon,False,2006543831,,
sc-2002238743,soundcloud,Noël le plus glorieux des mystères : Dieu en chair vu par les anges,fr,2025-01-06,3761,,David Pelosi,Noël le plus glorieux des mystères,,1,1Tim.3.14-1Tim.3.16,1Tim,sermon,False,2002238743,,
sc-1996734623,soundcloud,Le triomphe de Christ dans le cœur des enfants de Dieu,fr,2024-12-29,3215,,Christian Bouedjoro,Évangile de Jean,,1,John.1.1-John.1.13,John,sermon,False,1996734623,,
sc-1992138231,soundcloud,"Noël, le plus glorieux des mystères : Dieu en chair justifié par l'Esprit",fr,2024-12-22,3637,,David Pelosi,Épître à Timothée,,2,1Tim.3.14-1Tim.3.16,1Tim,sermon,False,1992138231,,
sc-1986279755,soundcloud,"Noël, le plus glorieux des mystères : Dieu manifesté en chair",fr,2024-12-16,3244,,David Pelosi,Épître à Timothée,,1,1Tim.3.14-1Tim.3.16,1Tim,sermon,False,1986279755,,
sc-1976866735,soundcloud,La Loi n'est pas contraire aux promesses,fr,2024-12-08,3981,,David Pelosi,Épître aux Galates,,37,Gal.3.21,Gal,sermon,False,1976866735,,
sc-1976810775,soundcloud,La Grâce de la loi : les transgressions,fr,2024-12-08,4061,,David Pelosi,Épître aux Galates,,36,Gal.3.19,Gal,sermon,False,1976810775,,
